site,tortid,sex,status,year,quarter,date,cohab_count,logistic_count,temperature,rainfall,local_tort_density,local_burrow_density,survey_rate
BSV,216,M,C,1997,2,1997-03-25,0,0,63.0,0.0,0,1,0.10285714285714286
BSV,216,M,C,1996,3,1996-10-27,0,0,66.9,0.44,0,2,0.14666666666666667
BSV,216,M,C,1997,2,1997-04-02,0,0,65.3,0.14,0,1,0.045714285714285714
BSV,216,M,C,1996,1,1997-02-06,0,0,52.7,0.19,0,4,0.045714285714285714
BSV,216,M,C,1996,3,1996-09-28,0,0,80.4,0.0,0,2,0.05333333333333334
BSV,216,M,C,1996,1,1996-12-24,0,0,47.8,0.13,0,2,0.04
BSV,216,M,C,1996,3,1996-10-12,0,0,66.9,0.44,0,2,0.06666666666666667
BSV,216,M,C,1996,3,1996-09-14,0,0,80.4,0.0,0,1,0.08
BSV,216,M,C,1997,2,1997-04-07,0,0,65.3,0.14,0,4,0.11428571428571428
BSV,216,M,C,1996,1,1996-11-16,0,0,56.8,1.0,0,2,0.16
BSV,217,J,R,1997,2,1997-04-15,0,0,65.3,0.14,1,2,0.08571428571428572
BSV,217,J,R,1997,1,1997-11-24,1,1,55.0,0.21,1,4,0.19428571428571428
BSV,217,J,R,1999,2,1999-04-12,0,0,61.3,1.42,0,1,0.509090909090909
BSV,217,J,R,1999,2,1999-03-01,0,0,61.0,0.0,0,1,0.2636363636363636
BSV,217,J,R,1999,2,1999-05-24,0,0,75.6,0.0,0,1,0.32727272727272727
BSV,217,J,R,1997,3,1997-08-12,0,0,89.2,0.13,0,3,0.12571428571428572
BSV,217,J,R,1997,1,1997-11-04,4,1,55.0,0.21,4,4,0.14285714285714285
BSV,217,J,R,1998,1,1999-01-13,0,0,49.5,0.07,0,1,0.3181818181818182
BSV,217,J,R,1997,3,1997-10-08,3,1,66.0,0.0,3,4,0.16
BSV,217,J,R,1999,2,1999-06-16,0,0,84.0,0.22,0,3,0.34545454545454546
BSV,217,J,C,1997,2,1997-04-07,0,0,65.3,0.14,0,2,0.11428571428571428
BSV,217,J,R,1998,3,1998-07-08,0,0,89.6,2.09,0,5,0.42063492063492064
BSV,217,J,C,1996,3,1996-08-20,0,0,91.9,0.05,1,2,0.17333333333333334
BSV,217,J,R,1998,2,1998-06-23,0,0,79.5,0.0,0,1,0.36507936507936506
BSV,217,J,R,1999,2,1999-03-22,0,0,61.0,0.0,0,1,0.8
BSV,217,J,R,1997,1,1997-11-17,3,1,55.0,0.21,3,4,0.3485714285714286
BSV,217,J,R,1999,2,1999-06-01,0,0,84.0,0.22,0,1,0.36363636363636365
BSV,217,J,R,1998,3,1998-10-22,0,0,65.3,0.08,0,2,0.21428571428571427
BSV,217,J,R,1998,3,1998-08-17,0,0,90.0,0.03,0,2,0.48412698412698413
BSV,217,J,R,1997,3,1997-10-06,1,1,66.0,0.0,1,4,0.04
BSV,217,J,R,1997,3,1997-10-29,1,1,66.0,0.0,1,4,0.15428571428571428
BSV,217,J,R,1998,3,1998-08-31,0,0,90.0,0.03,0,2,0.4126984126984127
BSV,217,J,R,1999,2,1999-03-08,0,0,61.0,0.0,0,1,0.6727272727272727
BSV,217,J,R,1998,3,1998-09-15,0,0,80.1,1.42,0,3,0.2619047619047619
BSV,217,J,R,1998,3,1998-09-29,0,0,80.1,1.42,0,4,0.31746031746031744
BSV,217,J,C,1997,2,1997-04-02,0,0,65.3,0.14,1,2,0.045714285714285714
BSV,217,J,R,1997,1,1997-11-10,1,1,55.0,0.21,1,4,0.19428571428571428
BSV,217,J,R,1998,3,1998-10-07,0,0,65.3,0.08,0,4,0.18253968253968253
