site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,216,M,1996,1,C,52.299999999999997,0.56499999999999995,0.0,2.6666666666666665,0.0,0.11235955056179775,0.036440352896049098,0.2727272727272727,2,1
BSV,216,M,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,216,M,1996,3,C,83.275000000000006,0.69499999999999995,0.0,1.1428571428571428,0.081766817777708889,0.34745762711864409,0.02883263009845289,0.16666666666666666,3,1
BSV,216,M,1997,1,NA,50.049999999999997,0.17999999999999999,nan,nan,NA,0.28813559322033899,0.093791440626883674,0.0,0,0
BSV,216,M,1997,2,R,73.5,0.035000000000000003,0.0,1.5,0.23076869619728368,0.59999999999999998,0.082480781457719199,0.1095890410958904,2,1
BSV,216,M,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,216,M,1998,1,NA,52.700000000000003,0.070000000000000007,nan,nan,NA,0.12068965517241378,0.16905766526019689,0.0,0,0
BSV,216,M,1998,2,NA,66.775000000000006,0.40500000000000003,nan,nan,NA,0.66386554621848737,0.12378691983122363,0.0,0,0
BSV,216,M,1998,3,NA,81.25,0.90499999999999992,nan,nan,NA,0.61016949152542377,0.11508005317611701,0.0,0,0
BSV,216,M,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,216,M,1999,2,NA,70.474999999999994,0.40999999999999998,nan,nan,NA,0.52500000000000002,0.104628164556962,0.0,0,0
BSV,216,M,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,217,J,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,217,J,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,217,J,1996,3,C,83.275000000000006,0.69499999999999995,0.5,2.25,0.017538880963608557,0.34745762711864409,0.02883263009845289,0.09523809523809523,2,1
BSV,217,J,1997,1,R,50.049999999999997,0.17999999999999999,2.0,4.0,2.2737367544323206e-13,0.28813559322033899,0.093791440626883674,0.14285714285714285,1,0
